item_name,item_type,ingredients
Parle Chatkeens Khatta Meetha mixture,snack,"refined oil, flattened rice , besan, sugar, chana dal , sago , peanuts , masur , dehydrated peas , iodised salt, spices & condiments (turmeric powder, bishops seeds. chilli powder), citric acid, raising agent [500(i), 341()] contains: nuts last character of the batch indicates the name of refined oil. $-refined cotton seed oil @-refined palmolein oil. a proprietary food-snacks (category-15.1)"
harvest crunch White Oats,drink,100% white rolled oats. contains cereal containing gluten (oats)
Dabur Vedic Tea,drink,"tea , herbs & spices (cardamom, ginger, cinnamon, mulethi, tulsi, vidaari, varahikand, shatawar, ashwagandha, bael chhal, arani (agnimonth), shyonok, gambhari, shaalparni, prishnaparni, gokshura, kantkari - shavet, bruhati, balla, mudgaparni, mashaparni, karkatasharingi, bhumyamalaki, draksha, jeevanti, pushkar mool, haritaki, guduchi, kapur-kachari, mushtaka, punarnava, neel kamal & vasa)"
The Bakers Dozen Dark Chocolate Cookies,snack,"dark chocolate , refined wheat flour (maida), sugar, butter, apple cider vinegar, raising agent (ins500(ii)). contains added flavour (artificial flamuring substance (vanilla)). allergen declaration : contains wheat and milk"
Knorr pizza  pasta sauce,condiment,"water, vegetables (crushed tomato - 25%, diced tomato - 20%, chopped onion-3.5% and garlic paste-2.5%), sugar, lodised salt, soyabean oil, stabilisers - e1422, e415, acidity regulator - e260, herbs (oregano and basil - 0.12%), white pepper powder, preservative-e211"
Kissan Mixed Fruit Jam,drink,"sugar, mixed fruit pulp blend-60% (papaya pulp, pear pulp, apple juice, banana pulp, pineapple juice, orange juice, mango pulp, grape juice), acidity regulator-e330, thickener-e440, iodised salt, vitamins & mineral, preservative-e202, natural flavouring substances, food colour-e122"
Nutraj Round Raisins 500g,drink,raisins (kishmish)
Master chow,drink,whole wheat flour and salt
Lays Gourmet Potato Chips,drink,"potato edible vegetable oil (palmolein oil), seasoning sugar, iodised salt *spices & condiments. salt substitute (potassium chloride), milk solids (whey powder, cheese powder, skim milk powder), acidity regulators (330, 327, 325). flavour (natural and nature identical flavouring substances), edible vegetable oil (sunflower oil), anticaking agent (551) favour enhancer (627,631). colour (160c). *as flavouring agent contains garlic allergen advice: contains milk, wheat, rye, barley, buckwheat"
4700BC Butter Popcorn,snack,"popping corn , edible vegetable oil (rice bran, sunflower & olive oil), iodized salt, beta carotene, anti-oxidant (e319), acidity regulator (e330), anti foaming agent (e900a), emulsifier (e471). contains permitted natural color (160a(1)] and added flavors (natural and nature identical flavoring . 4% 0% 3% allergen warning: produced in kitchen that also processes nuts, soya & milk products"
Pillsbury Custard Powder,sweet,"starch, salt, synthetic food color [ins02,ins110]"
Sunfeast Marie Light,snack,"refined wheat flour (maida) , sugar, refined palm oil, invert syrup, raising agents [ins 500 (ii), ins 503(ii), ins 450(i)], milk solids, lodized salt, flour treatment agent (ins 223), nature identical flavouring substances, artificial flavouring substances (milk, vanilla), emulsifier [diacetyl tartaric and fatty acid esters of glycerol (from sunflower and palm oil)], mineral , colour (ins 150d) and vitamins . contains wheat, milk, sulphite. may contains nut, soy"
Modern Milk Plus Bread,drink,"refined wheat flour (maida). sugar, milk solids , yeast, lodized salt. edible vegetable fat (interestenfied), gluten, soya flour,preservatives (282, 200), flour treatment agents (341(iii)) 510, 1100 1100(i)), stabilizer (170(0)), emulsifier (481(i)) acidity regulator (260) and antioxidant (300). (numbers referred above are as per international numbering system) contains wheat, milk and soya"
RVP B tex,food,"compisition.salicylic acid, tankan amla,kapoor ab,paraffin base"
Grow vita,food,malt extract sugar nikl solids cocoa powder salt
Myfitness Chocolate Peanut Butter,drink,"roasted peanuts, dark chocolate, brown sugar, salt, stabilizer (ins471). allergen info: contains peanuts and soya peanut butter (proprietary food-4.2.2.5)"
Pravin Kolhapuri Thecha,condiment,"water, garlic, red chilli , lodised salt, cotton seed oil, lime juice, cumin, acidity regulator - acetic acid (e260), preservative - sodium benzoate (e211)"
Vijaya Telangana Suprabhatam UHT Processed Toned Milk,food,milk solids
RC Idly And Dosa Batter,food,"ro-purified water , rice , urad dal, fenugreek and iodized salt"
Sankethi Adukale Instant Rava Idly Mix,food,"rava , refined palm oil, benagal gram dal, mustard, green chillis, ginger, lemon powder, salt, acidity regulator (e500), cashew, curry leaves. allergen advice: made in a facility that also processes peanuts_almonds_cashew_sesame seed_milk powder_soya_mustard seed_gluten"
Haldirams Gup Shup Peanuts,drink,"peanuts , refined wheat flour (maida), edible vegetable oil (palmolein, cotton seed, rice bran), starch, spices & condiments (red chilli powder, clove powder, coriander powder, cumin powder, black pepper powder, ginger powder, mace powder, nutmeg powder, asafoetida), lodised salt, sugar and acidity regulator (ins 330) and natural & nature identical flavouring substances. *used as natural flavouring agent. allergen information: contains gluten & peanuts. *"
kissan fresh tomato,condiment,"water, tomato paste , sugar, iodised salt, acidity regulator-e260, stabilizers - e1422, e415, preservetive - e211, onion power, garlic powder, spices and condiments"
Bingo Cream  Onion Potato Chips,drink,"potato , refined palmolein, seasoning (milk solids , sugar, dextrose, onion powder , iodized salt, dehydrated parsley leaves , soy sauce powder, cheese powder , natural flavours and natural flavouring substances and nature identical flavouring substances} and iodized salt"
Mr Bakewell premium brown bread,drink,"refined wheat flour (maida), whole wheat flour (atta), water, sugar, edible vegetable oil (palm oil), yeast, lodized salt, soya flour, gluten, caramel 150 a, roasted malt flour, calcium propionate (ins282), bread improver (ins 170(i), 1100(0)), antioxidant (ins 300) allergen information: product contains, gluten & soya"
Flaming hot nachos,snack,"corn , edible vegetable oil (palmolein, rice bran), edible common salt, chilli powder, black salt, maltodextrin, dehydrated vegetable powder (garlic, onion, lemon), hydrolyzed vegetable protein (soya), acidity regulator (ins 330), flavour enhancer (ins 627, ins 631), yeast extract, oregano, anticaking agent (ins 551), natural & nature identical flavouring substances (chilli, lemon), paprika extract (ins 160c)"
RC Whole Wheat Chapati,drink,"whole wheat flour, ro purified water. refined palmolein oil, iodised salt. sugar, emulsifier ( e471. e481). preservative (e202. e282)"
24 Mantra Channa dal,food,channa dal
proVmini Almonds Roasted and Salted,drink,"almond kernels, edible common salt"
Phalada Organic Castor oil,drink,castor oil
Aarambh Oats,drink,rolled oats
iD fresho Idly And Dosa Batter,food,"ro-purified water, rice , urad dal, fenugreek,iqdised salt"
MTR Karivepaku Podi,condiment,"coriander , red chilli , blackgram splits, curry leaf powder , lodised low sodium salt, bengalgram splits , tamarind concentrate , refined palmolein oil, cumin, garlic powder, lodised salt, jaggery, natural flavouring substances, anticaking agent (ins 551), acidity regulator (ins 334), asafoetida"
SPOT ON OK Hyderabadi Veg Biriyani,snack,"corn meal, edible vegetable oil,gram meal, sugar,iodised salt,black salt, spices and condiments (onion powder,chilli powder,garlic powder,amchur, coriander powder,) milk solids, citric acid, flavour enhancer (ins-621) edible starches"
Cadbury Dairy Milk Silk Fruit  Nut,snack,"composite chocolate gredients: sugar, milk solids , cocoa butter, cocoa solids, raisins , cashew nuts ,apricot kernels , emulsifiers (e 442,e 476),natural flavouring substances,nature identical flavouring substances,artificial flavouring substances(vanilla). _contains milk,cashew nut.may contain wheat, barley, soy ,other tree nuts_"
Amul Camel Milk,food,camel milk
Parle Appy fizz,drink,"water, sugar, carbonating agent (ins 290), acidity regulators (ins 296, ins 331, ins 300), stabilizer (ins 440), natural colour (ins 150d), preservative (ins 211), antioxidant (ins 300)"
Conscious food urad dal,drink,split black gram (urad dal)
Heritage Daily Health Toned Milk,food,"milk solids (toned milk), vitamin a palmitate & vitamin d (ergocalciferol) allergens information: contains milk"
Dodla Toned Milk,food,"milk solids, vitamin a (retinyl palmitate) and vitamin d(ergocalciferol)"
Suhana sambar masala,food,"coriander,chili,fenugreek,cumin,curry leaves,edible common salt,bengal gram,green gram,black gram,black pepper,cassia bark (taj),turmeric,asafoetida,refined cottonseed oil"
GoodDiet sprouted ragi powder porridge,drink,"sprouted ragi, iodised salt"
Dhara Life Refined Ricebran Oil,drink,"physically refined ricebran oil, antioxidant (tertiary butylhydroquinone), vitamin a & d2, antifoaming agent (dimethyl polysiloxane)"
Oatey Chocolate Oat Drink,drink,"oat base (water, oats 10.5%), sugar substitute (erythritol, maltitol, steviol glycoside), low erucic acid rapeseed oll 1.5%, cocoa powder 1.5%, minerals (calcium carbonate, tricalcium phosphate), acidity regulator (dipotassium phosphate), thickener & stabilizer (micro crystalline cellulose, carboxymethyl cellulose, gellan gum), citrus fibre, himalayan pink salt, vitamin b1, b2, 812 6 d. contains naturally occuring sugars, contains dats, contains natural & nature identical flavouring substances chocolate & vanilla"
Amul Milk Shake Double Chocolate,drink,"double toned milk, sugar, dark chocolate , milk chocolate , stabilizer (407), artificial flavouring substances (cocoa, vanilla). allergen information: contains milk"
Amul Pro Plus,drink,expire date
Cavins Cavins kaju Butterscotch Milkshake 180ml,drink,"toned milk , sugar, flavor (nature identical and artificial (kaju katri) flavoring substances), stabilizers (ins 415, ins 412, ins 407), sequestrant (ins 451 (i)), lodized salt, cashew powder , emulsifier (ins 436), mineral and vitamin premix (zinc, vitamin a and d), and synthetic food color (ins 110). allergen advice: contains milk and nut"
coca cola sprite,drink,"carbonated water, sugar, acidity regulators (330, 331|(iii), preservative (211), flavours (natural flavouring substances)"
Mango drink,food,"mango pulp , treated water, sugar, acidity regulators (ins 330, ins 331), antioxidant (ins 300), stabilizing agents (ins 440,ins 415)"
Haldirams Chatpata matar,snack,"green peas . refined palmolein oil, cumin powder, red chilli powder, edible common salt, coriander powder, dried mango powder, dried ginger powder, black pepper, acidity regulator (ins 330), black salt, clove powder, cardamom, cinnamon, nutmeg, bay leaf, asafoetida & colours ins 100, ins 133)"
Tiffin Wet Idly Batter,drink,"black gram (urad), idly ravva, potable water"
ghee,food,expiry date
Rejuve Instant Coffee Chicory Mixture,drink,"instant coffee,chicory"
Kanaiya Mamra  Murmura  Roasted Rice,drink,"roasted rice, iodized salt"
Modern Kitchens Butter Murukku,snack,"rice, urad dal, tapioca powder, nandini or amul butter, salt, refined vegetable oil, sesame seeds & cumin seeds"
boldfit organic apple cider vinegar,condiment,certified organic apple juice fermented to 4% acidity
Haldirams khatta meetha 200g,snack,"edible vegetable oil (palmolein, cotton seed, corn, sunflower, c-31, sector-62, noida-20 rice bran), rice flakes , bengal gram flour (besan) , refined sugar, split pulse bengal gram (chana dal) , groundnuts (peanuts) , sago , red lentils (masur whole) , green peas, tapioca starch, iodised salt, black salt, turmeric, acidity regulator (ins 330), red chilli, ajwain, raising agent (ins 500 ii) & asafoetida"
Parle-G 250,snack,"refined wheat flour (maida) , sugar, refined palm oil, invert sugar syrup* [sugar, citric acid], 10dised salt, raising agents (503 (ii), 500 (i)], milk solids, flour treatment agent [1101 (ii)] and emulsifier of vegetable origin [472e] contains added flavour (artificial flavouring substances-vanilla) (d-glucose, levulose) contains: wheat, milk joonsumer care"
Unilever Horlicks Horlicks Protein Plus Vanilla Flavour,food,"skimmed milk powder [ of which casein ], protein products [whey protein concentrate , soy protein isolate ], cereal extract (barley, malted barley, millet, wheat), edible vegetable fat powder (high oleic sunflower oil) [emulsifier (ins 471), antioxidant (ins 305)], dietary fibre (wheat dextrin-soluble fibre), nature identical flavouring substances, minerals, vitamins, non-caloric sweetener (ins 960). allergen information: contains soy, milk, wheat and barley"
Britannia Marie gold 5117g (4),snack,"refined wheat flour (maida) , sugar, refined palm oil, invert sugar syrup, milk products (milk solids & sweetened condensed partly skimmed milk), raising agents [503(ii) & 500(ii)], iodised salt minerals artificial (milk & vanilla) & nature identical flavouring substances, emulsifier (472e), dough conditioner (223) vitamins colour (150d) and improver (1101(i)). (numbers in brackets as per international numbering system) et contains wheat, milk and sulphite"
Britannia Brit 50-50 maska chaska 40g (20),snack,"refined wheat flour (maida), refined palm & palmolein oil, sugar, liquid glucose, raising agents [503(ii), 341(ii), 500(ii) & 450(i)], butter , black salt, milk solids, dehydrated vegetable (chives) , iodised salt, nature identical flavouring substance, dough conditioner (223) and improvers [1101(i)& xylanase]. (numbers in brackets as per international numbering system) contains wheat, milk and sulphite. store in a cool, hygienic and dry place. transfer contents to a clean airtight container once opened. juructries ltd. 5/1 a hungerford"
Haldirams Agra Taj petha,sweet,"refined sugar, ash gourd (pumpkin), natural kewra water , potassium metabisulphite (e 224 contains sulphite may contain milk , wheat refined sugar, winter melon (pumpkin natural kewra water and potassium metabisulphite (e 224) contains sulphites may contain milk and ble store in cool , dry place / store in a cool, dry place fssat lic, no, 10012022000234 keep your city clean suitable for vegetarians 8904004406313 tion and packaging national pvt, ltd, (unit-krishi"
First Crop Corn Flakes,drink,"corn grits, sugar, malt extract, iodised salt,antioxidant"
First crop    Cream onion potato chips 50g,drink,"potato,refined pamolineoil,sugar(sucrose),milk solids,onion powder,parsley,iodize salt,white pepper powder contain added flavour(natural and nature identical flavouring substances),allergen alert:contains milk,may contain traces of wheat,peanut, nuts, sesame and oats"
Bikano khatta meetha 500g(20),food,"edible vegetable oil (refined palmolein oil, refined rice bran oil, refined cottonseed oil), rice flakes , sugar (sucrose), chickpea flour , peanuts , dried green peas, lentils , sago, maize flour, split bengal gram, mixed spices, rice flour, lodized salt, turmeric, carom seeds, black salt, acidity regulator (e 330), raising agent [e 500 (ii)]. allergen alert: contains: peanuts may contain wheat, milk, nuts, sesame, soy and oats"
Bikano diet mixture,snack,"rice flakes , edible vegetable oil (refined palmolein oil, refined ricebran oil, acidity cottonseed oil), husked bengal gram , corn flakes , mixed spices powder, turmeric powder, yellow chilli powder, hydrolyzed vegetable protein, er), maltodextrin, lodized salt, black salt, curry leaves , mint leaves, acidity regulator (e330)"
Heritage Goodness Standardised Milk,food,"milk solids (standardised milk), vitamin a palmitate & vitamin d (ergocalciferol)"
Britannia Cake Gobbles 35g,snack,"refined wheat flour (maida) sugar, eggs, hydrogenated vegetable oil & refined palmolein oil, fruit products (papaya cuts & orange pulp), humectants (422 & 420(ii)), high maltose syrup, edible maize starch, penta cake,raising agents[ 450, 500, 341&341), emulsifiers (472e, 466&435), stabilizer (412) & acidity regulator (330)), cake gel emulsifers & stabilizers (471 & 477) and humectant (420), 1odised salt, raising agents [341(i), 500(ii) & 450(i)], nature identical (orange) and artificial (vanilla) flavouring substances, invert sugar syrup, preservatives (202 & 282), emulsifier (435), colours (110 & 122), acidity regulator (330) and stabilizer (415)"
Parle Bodeseek 120g(26),snack,"refined wheat flour (maida), chocolate i sugar, cocoa solids, cocoa butter, dextrose, emulsifier of vegetable origin (soy lecithin) and artificial flavouring substances-vanilla j, sugar, refined palm oil, invert sugar syrup, instant coffee-chicory mixture , raising agents (503 (ii), 500 (ii) 1. 1odised salt, emulsifier of vegetable origin [472e]. contains permitted natural colour [ 150d] and added flavour (artificial flavouring substances coffee). contains: wheat, soy for sale in india only net weight mrp 30.00 (0.30a incl. of all taxes consumer care cell parle products pvt. ltd. north level crossing vile parle east mumbai, mh-400057 phone no.:022-6691 6929; en visit us at www.parleproducts.com made with"
Britannia Tiger Krunch ChocoChips,snack,"refined wheat flour (maida), sugar, refined palm oil, chic chips (sugar, edible hydrogenated vegetable fat, cocoa solids, dextrose emulsifier [322(i)] and natural flavouring substance, invert sugar syrup cocoa solids , colours (150c, 124, 133), raising agents [500)& iodised salt, emulsifiers [322(i), 471 & 472e], artificial (chocolate & flavouring substances, ferrous salt, dough conditioner (223) and vitamin*"
English Oven Multi Grain High Fibre Bread,drink,"refined wheat flour (maida), water, multigrain mix (20% - oat flakes, sunflower, linseed, sesame seed, soya grit, melon seeds), yeast, sugar, edible vegetable oils (palm), wheat gluten, edible common salt, malt flour, broken wheat, soya flour, class ii preservative (282), acidity regulator (260), emulsifiers [471,472e, 481 (0)1, improvers [1700), 510, 923, 1100] and antioxidant (300). (numbers in brackets are as per international numbering system) allergen declaration: product contains wheat flour (gluten), seeds, oats, soya flour as allergens"
Aachi Mixed Fruit Jam,drink,"sugar, mixed fruit pulp - , thickener - (ins 440), acidity regulator - (ins 330). contains permitted class ii preservative (ins 211). contains permitted synthetic food colour - (ins 122) and added artificial flavouring substance - mix fruit"
Good Life Rice Flour,drink,rice flour
Aashirvaad Multi -Millet Mix,drink,"(jowar) sorghum flour , (navane) foxtail millet flour , (bajra) pearl millet flour , (ragi) finger millet flour , quinoa flour"
Zoff Kasoori Methi Leaves,drink,fenugreek leaves (kasoori methi)
Ginni Masala Tea,drink,"tea ginger, cardamom, cloves star anise, nut meg, cinnamon, black pepper (spices 2.8%)"
heritage Special Long Life Milk,food,"milk solids (toned milk), vitamin a palmitate & vitamin d (ergocalciferol)"
Raviteja Sompapdi,snack,"sugar, ghee,maida,changada"
ITC Bingo Potato Chips Cream  Onion,drink,"potato , refined palmolein, seasoning mix [milk solids , refined sugar, dextrose, onion powder , iodised salt, dried parsley leaves , soy sauce powder, cheese powder , acidity regulator (ins 330), anticaking agent (ins 551) & flavour enhancer (ins 627, ins 631)] and iodised salt. contains added flavours(s) (natural flavours & natural flavouring substances - cream & nature identical flaouring substances - cheese)"
Cadbury Oreo Vanilla 481.25g,snack,"refined wheat flour (maida), sugar, fractionated fat, palmolein, invert sugar, cocoa solids (2%*), leavening agents (500(ii), 503(ii)), starch, iodised salt, emulsifier (322), nature identical flavouring substances. allergen information: contains wheat, sulphite, soy"
Mukkund Kream Time,snack,"refined wheat flour (maida), sugar, edible vegetable oil (palm), hydrogenated edible vegetable fat (palm), liquid glucose, invert syrup, raising agents [ins 503 (ii), ins 500 (ii)], starch, milk solids, malt extract, edible common salt, yeast, emulsifiers (ins 322, ins 472e), acidity regulator (ins 330), dough conditioner (ins 223) & flour treatment agent (ins 1101) gropat rka en ca contains permitted synthetic food colour (ins al 102) and added flavour (nature identical flavouring substance-lemon) contains wheat, milk and soya"
Curd,food,"toned milk,milk solids,and active culture"
Priya Refined Sunflower Oil,drink,"sunflower oil , permitted anti-oxidants (ins 319)"
Swarnam Gingelly Oil,drink,sesame oil
BMC,food,haldi powder
BMC Haldi Powder Turmeric Powder,drink,haldi powder
Britannia BRITANN Good day 600 g,snack,"refined wheat flour (maida), sugar, edible vegetable oil (palm), butter , invert syrup, milk solids raising agents (5(130), 500%)), odised salt and emulsifiers [322, 471, 472e) contains added flavours inatural nature identical and artificial (butter, vanilla & milk) flavouring substances)"
Tata Salt Flavoritz Flavoured Salt,food,"spices and condiments , vacuum evaporated edible common salt"
Britannia Nutri Choice Sugar Free Crackers,snack,"refined wheat flour (maida) , refined palm&palmolein oil, raising agents [503(ii) & 500(ii)], iodised salt, milk solids, yeast, emulsifier [322(i)], acidity regulators (330 & 334), natural and nature identical flavouring substances, dough conditioner (223) and improvers [1101(i) & 1100(i)]. (numbers in brackets as per international numbering system) contains wheat, milk, soya and sulphite"
PepsiCo 7up,drink,"carbonated water, acidity regulators, flavour (natural flavouring substances), sweeteners, preservatives, non-caloric sweeteners, mixture of aspartame,sucralose and acesulfame potassium"
Go Cheese Slices,food,"cheddar cheese (made from microbial enzyme), milk solids, emulsifier (ins 339 (iii), ins 450 (i), ins 452 (i)), lodized salt, stabilizer (ins 407, ins 415), preservative (ins 200). allergen advice: contains milk"
Veeba Favourites Eggless Mayonnaise Chefs Special,condiment,"water, refined soyabean oil , synthetic inegar (water, acetic acid (ins260)], sugar, emulsifiers and stabilizers (ins1442, ins1450, ins415), iodised salt, spices and condiments, acidity regulator (ins330), preservatives (ins211, ins202), nature-identical flavouring substances antioxidant (ins319) and sequestrant (ins385)"
Sangam Fruit biscuits,snack,"refined wheat flour, sugar, edible vegetable oil, raising agents, milk solids, glucose liquid, cashews, papaya cubes, cherries"
Bikaji khatta meeta 400 g,food,6g 6g 11% 11% 8% 4g omcg 0% 25mg 2% &lt;1mg 4% 142mg 3% ow much a nutrient in a et. 2000-calories a day is (approx.) per serving 2/3 cup (40)
Kwality walls Fruit  Nut,sweet,"frozen dessert: (water, sugar, condensed milk, palm oil, liquid glucose, maltodextrin, (hazelnut) flavouring substance, food colours - e102, e122, e110, cocoa solids, emulsifier e471, stabilisers (e410, e412), artificial aimonds , liquid glucose, emulsifier - e471, vegetable protein e133, e143), palm oil, milk solids, cashew nuts , raisins , (soy), stabilisers (e412, e417, e407, e410), nature identical flavouring substance, food colour-e102, e110. contains milk, soy & nuts"
Britannia vita meri,drink,refined palm oil milk
Cadbury Original Oreo,snack,"refined wheat flour (maida), sugar, fractionated fat, palmolein, invert sugar, cocoa solids , leavening agents (500(ii), 503(ii)), starch, lodised salt, emulsifier (322), nature identical flavouring substances. allergen information: contains wheat, sulphites, soy. may contain milk and barley"
Modern Fruity Bread,drink,"refined wheat flour (maida), glazed fruit (papaya), sugar, acidity regulator (330), modern preservative (211), contains permitted synthetic food colours (102), (110), (129)), sugar, edible vegetable fat onteresterified), yeast, gluten, lodized salt, soya flour, preservative (282), emulsifier (481 (0), flour treatment agents (510, 1100 001, acidity regulator (260) antioxidant (300), spices and condiments. contains added flavour mature-identical flavouring ces (vanilla)"
Mr Bakewell Premium Fruit Bread,drink,"refined wheat flour (maida), glazed fruit sugar, edible vegetable fat, yeast, gluten, lodized salt, soya flour,milk solids, class ii preservative (ins 282), improver (ins 1100 (1), 170(i)), emulsifier (ins 481 (0)) and antioxidant (ins 300), spices & condiments"
Maggi cheesy Tomato,drink,"ma ##macaroni (pasta) semolina [from wheat]. cheesy tomato *tastemaker® milk and sugar blend mix (milk solids & sugar), sugar, dehydrated tomato paste solids {tomato paste , anticaking agent (551) & lodised salt), lodised salt, mixed spices (dehydrated onion, dried garlic, roasted garlic, cumin powder, red chilli, capsicum extract, black pepper, coriander extract & cumin extract), dehydrated green bell pepper , maltodextrin, edible starch, cheese powder (cheese & maltodextrin), potato flakes (potato, margarine, lodised salt, emulsifier (471) & turmeric), palm oil, thickener (508), flavour enhancer (635), oregano bits and acidity regulator (296)"
Mondelez Dark 70,snack,"cocoa solids #, cocoa butter #, sugar, milk solids, nature identical flavouring substances, emulsifiers (442, 476). allergen information: contains milk. may contain tree nuts, soy. refers to %cocoa"
Dr. Oetker fun food peanut butter,drink,"roasted peanuts , sugar, edible vegetable fat (soyabean), lodised salt. contains nut"
Catch Ginger Garlic - Culinary Paste,condiment,"ginger , garlic , water, iodized salt, acidity regulator (ins 296), stabilizer (ins 415), preservatives (ins 211 & ins 224)"
Britannia Jimjam 460g,snack,"refined wheat flour (maida), sugar , refined palm oil & interesterified vegetable fat, invert sugar syrup, dextrose, milk products (milk solids & sweetened condensed milk), edible maize starch, maltodextrin, fruit products (apple juice concentrate, banana powder & plum juice concentrate), iodised salt, emulsifiers [322(i) & 471], raising agents [503(ii) & 500(ii)], nature identical and artificial (mixed fruit, vanilla & butter) flavouring substances, acidity regulators [330 & 331(iii)), gelling agent (440) and colour (122)"
Nestle Munch Max,sweet,"sugar, refined wheat flour (maida), hydrogenated vegetable fat, fractionated vegetable fat. milk solids, cocoa solids , emulsifier (soya lecithin), raising agent (500(i)), yeast, lodised salt. flour-treatment agent (516), artificial (vanilla) and nature-identical flavouring substances. contains wheat, sesame, milk and soy"
Amul Cassatta,sweet,"ice cream : milk solids, sugar, mixed fruit jam , emulsifier (471), stabilisers (407, 466, 415, 412), artificial flavouring substances (strawberry, butterscotch, tutti frutti, vanilla), colours (102, 124, 127); eggless cake base , refined wheat flour, sugar palm oil, milk solids, emulsifiers [477, 471, 470(1), 429, 400, 415), raising agents (500(4), 503(0)| ;topping , cashew pieces, allergen information: contains milk, wheat, nut"
Mr Bakewell Multi Grain Bread,food,"refined wheat flour (maida), water, multigrain mix (sunflower, flax seed, sesame, soya seeds, rolled oats), whole wheat flour (atta), sugar, edible vegetable oil (palm oil), yeast, lodized salt, soya flour, gluten, calcium propionate (ins282) bread improver (ins 1700), 1100(1), antioxidant (ins 300)"
Godrej Jersey Standardized Milk,food,milk solids
Godrej Jersey Toned Milk,food,milk solids
Imperian blue,food,grain netural
Nandini Milk Peda,snack,"milk solids, sugar"
Haldirams Orange Soan Treat,snack,"refined sugar, refined wheat flour(maida). refined palmolein oil, bengal gram flour (besan), hydrogenated vegetable oil (vanaspati), liquid glucose, almond, pistachio nuts, colour (ins 110), natural flavouring substances & nature identical flavouring substances allergen: contains almonds, pistachios & wheat may contains coconut, cashew, milk, soy, peanut & sesame seed"
Haldirams Tasty Nuts,drink,"groundnut (peanuts), refined palmolein oil, bengal gram flour (besan), maize starch, edible common salt, red chilli, acidity regulator (ins 330), turmeric, black salt, black pepper, dried ginger powder, cardamom, cumin, cinnamon, clove, bay leaf, nutmeg & asafoetida"
Salsalito Wrap tortilla,drink,"refined wheat flour (maida) , water, refined palmolein oil, humectant (ins 422), sugar, emulsifiers (ins 450 (i), ins 471), acidity regulator (ins 330), raising agent (ins 500 (ii)), iodized salt, preservatives (ins 202, ins 282), cysteine - hydrochloride, flour treatment agent (ins 1100)"
Paper Boat Fruit And Nuts Supermix,drink,"dry fruits 40% (almonds and cashews), dehydrated cranberry , pumpkin seeds and candied amla"
Farmlite Oats and Raisins Cookies,snack,"trans fat free _wheat_ flour (atta) , refined palm oil, _oat_ flakes , sugar, raisins , corn flakes, liquid glucose, raising agents [ins 503 (ii), ins 500(ii), ins 450(i)], _milk_ solids, maltodextrin, invert syrup, natural flavours and natural flavouring substances, lodized salt, colours (ins 150d, ins 150c). emulsifier [lecithin (from _soyabean_)], artificial flavouring substances (milk, vanilla) and nature identical flavouring substances"
Britannia 5050(72g),food,"refined wheat flour (maida), refined (palmolein & palm) oil, sugar , raising agents [503)(ii), 500(ii) & 341(i)], iodised salt , invert sugar syrup, yeast, acidity regulators (270 & 330), emulsifier (472e), nature identical and artificial (vanilla) flavouring substances and dough conditioner (223). (numbers in brackets as per international numbering system) contains wheat and sulphite"
Milky Mist Paneer,food,milk solids & vinegar
First Klass Refined Palmolein Oil,drink,refined palmolein oil
Bakes Fresh Milk White Bread,drink,"refined wheat flour, milk powder, fresh yeast, sugar, salt (lodised), gluten, class ii preservative (282), emulsifier (471 e), improver (1100); anti oxidants (300), acidity regulator (ins260), edible vegetable oil (palm oil)"
Amul Moti UHT Treated Homogenized Toned Milk,food,toned milk
Modern Wow Pav,drink,"refined wheat flour (maida), sugar, edible vegetable fat (interesterified), yeast, lodized salt, gluten, soya flour, preservative (282), emulsifier (471), acidity regulator (260), flour treatment agents (510, 1100(i)) and antioxidant (300)"
FastUp goodeatz Lentil Soup,drink,"pea protein , edible starches (tapioca, potato), pink salt, flavouring substances (natural and nature identical), spices and condiments, dehydrated vegetables (canned tomato), toor dal , inulin , refined sunflower oil, thickener (ins 412), flavour enhancers (ins 627, ins 631), anti caking agent (ins 551), extracts (curcumin, tulsi)"
Maggi 2-minute Noodles Masala,drink,"refined wheat flour, palm oil, calcium carbonate, potassium chloride, sodium phosphate, potassium carbonate, sodium carbonate, guar gum"
Maggi Pazzta mashroom,food,"macaroni (pasta): semolina (wheat) . masala tastemaker: milk solids, refined wheat flour (maida), lodized salt, cheese , onion , sugar, starch dehydrated mushroom , palm oil, maltodextrin, nature identical flavouring substance, thickener (508), black pepper powder, dehydrated spring onion , flavour enhancer ( yeast extract powder, colour (150d) and com oil. contains wheat & milk. may contains mustard & soy. *inspired from popular italian cuisine"
Britannia 50 50 Gol Maal,snack,"refined wheat flour (maida), refined palm & palmolein oil, sugar , raising agents (503(ii), 500(ii) & 341(i)), cumin black (kalonji) , iodised salt, invert sugar syrup, milk solids, emulsifiers [322(1) & 4711, nature identical flavouring substances, dough conditioner (223), improver [1101(i)] and colour (102)"
Cornitos cheese herbs 73g 50,snack,"corn , edible vegetable oil (corn oil), corn starch, lodized salt, sugar, milk solids (skim milk powder, whey powder, cheddar cheese powder ), spices & condiments (oregano , parsley , black pepper, chilli, turmeric), onion powder, acidity regulator (ins 270)), anticaking agent (ins 551), flavour enhancer (ins 627, ins 631) contains milk and milk products contains added flavours, natural and nature identical (cheese)"
